No.;Category;Brand;Product Name;Size;Wholesale Price (€);Suggested Selling Price (€);Profit per Unit (€);Margin %;Stock Available;Has Image;Source ID;EAN;Your Decision (KEEP/REMOVE/CHANGE PRICE);Your Custom Price (€)

--- PERFUMES (20 products) ---

1;Perfumes;Tom Ford;Tom Ford Fucking Fabulous EDP U 100 ml;;280.66;409.95;129.29;31.5%;8;Yes;DST1334653;888066094160;;
2;Perfumes;Creed;Pure White Cologne by Creed 75 ml - Eau De Parfum Spray;75 ml;262.21;384.95;122.74;31.9%;6;Yes;DST384762;3508440752031;;
3;Perfumes;Bvlgari;Ambero Eau de Parfum (EDP) 100ml;100 ml;220.65;319.95;99.30;31.0%;6;Yes;DST1273342;783320417887;;
4;Perfumes;Chanel;Chanel Coco Mademoiselle Intense EDP W 200 ml;200 ml;214.83;314.95;100.12;31.8%;132;Yes;DST847021;3145891166705;;
5;Perfumes;Guerlain;Guerlain Orchidée Impériale Crema Para Cuello y Escote 75ml;75 ml;195.70;284.95;89.25;31.3%;8;Yes;DST1296580;3346470620124;;
6;Perfumes;Acqua di Parma;Acqua di Parma Yuzu - 180 ml - eau de parfum spray - unisexparfum;180 ml;179.43;264.95;85.52;32.3%;16;Yes;DST173732;8028713810121;;
7;Perfumes;Dior;Dior J'adore Eau De Parfum 150 ml (woman);;150.71;219.95;69.24;31.5%;10;Yes;DST1355024;3348901738231;;
8;Perfumes;Carolina Herrera;Carolina Herrera Gold Myrrh Absolute Eau De Parfum 100 ml (unisex);100 ml;143.84;234.95;91.11;38.8%;6;Yes;DST935527;8411061001905;;
9;Perfumes;Hermès;Hermes Eau D'orange Verte Eau De Cologne 400ml;;131.64;214.95;83.31;38.8%;6;Yes;DST1350415;3346130493587;;
10;Perfumes;Yves Saint Laurent;Yves Saint Laurent Lavalliere EDP U 125 ml;125 ml;131.48;214.95;83.47;38.8%;15;Yes;DST863086;3614273753869;;
11;Perfumes;Diptyque;DIPTYQUE Orpheon Eau de Parfum 75ml;75 ml;129.88;209.95;80.07;38.1%;97;Yes;DST936735;3700431426321;;
12;Perfumes;Versace;Jasmin Au Soleil by Versace 100 ml - Eau De Parfum Spray (Unisex);100 ml;128.85;209.95;81.10;38.6%;6;Yes;DST371689;8011003848225;;
13;Perfumes;Jean Paul Gaultier;Jean Paul Gaultier Ultra Male Intense - 200 ml - Herenparfum;200 ml;112.78;184.95;72.17;39.0%;21;Yes;DST5358;8435415014328;;
14;Perfumes;Cartier;Cartier - Must de Cartier - 50 ml - Eau de Parfum;50 ml;111.35;179.95;68.60;38.1%;120;Yes;DST195607;3432240500809;;
15;Perfumes;Narciso Rodriguez;Narciso Rodrioguez Pure Musc Eau de parfum 150 ml - XL verpakking;150 ml;110.76;179.95;69.19;38.4%;8;Yes;DST164686;3423473055556;;
16;Perfumes;Givenchy;Givenchy L'interdit Eau De Parfum 125ml Spray;125 ml;105.87;169.95;64.08;37.7%;13;Yes;DST57877;3274872421479;;
