No.;Category;Brand;Product Name;Size;Wholesale Price (€);Suggested Selling Price (€);Profit per Unit (€);Margin %;Stock Available;Source ID;EAN;Your Decision (KEEP/REMOVE);Your Custom Price (€)

--- PERFUMES (40 products) ---

1;Perfumes;Acqua di Parma;Acqua di Parma Yuzu - 180 ml - eau de parfum spray - unisexparfum;180 ml;179.43;264.95;85.52;32.3%;16;DST173732;8028713810121;;
2;Perfumes;Acqua di Parma;"Acqua di Parma Signature Oud &amp; Spice Eau de Parfum";180 ml;163.31;239.95;76.64;31.9%;12;DST241295;8028713813221;;
3;Perfumes;Acqua di Parma;Acqua di Parma Oud - 180 ml - eau de parfum spray - unisexparfum;180 ml;156.28;229.95;73.67;32.0%;79;DST17462;8028713810527;;
4;Perfumes;Burberry;Burberry Goddess Intense Edp Recarga 150ml;;101.96;164.95;62.99;38.2%;6;DST1342941;3616304967146;;
5;Perfumes;Bvlgari;Ambero Eau de Parfum (EDP) 100ml;100 ml;220.65;319.95;99.30;31.0%;6;DST1273342;783320417887;;
6;Perfumes;Bvlgari;Yasep Eau de Parfum (EDP) 100ml;100 ml;200.40;294.95;94.55;32.1%;6;DST1273350;783320418105;;
7;Perfumes;Carolina Herrera;Carolina Herrera Gold Myrrh Absolute Eau De Parfum 100 ml (unisex);100 ml;143.84;234.95;91.11;38.8%;6;DST935527;8411061001905;;
8;Perfumes;Carolina Herrera;Carolina Herrera Burning Rose EDP W 100 ml;100 ml;142.82;229.95;87.13;37.9%;11;DST1287146;8411061789186;;
9;Perfumes;Carolina Herrera;Carolina Herrera - Nightfall Patchouli Eau de Parfum - 100 ml - Unisex;100 ml;142.13;229.95;87.82;38.2%;12;DST370391;8411061789179;;
10;Perfumes;Cartier;Cartier - Must de Cartier - 50 ml - Eau de Parfum;50 ml;111.35;179.95;68.60;38.1%;120;DST195607;3432240500809;;
11;Perfumes;Chanel;Chanel Coco Mademoiselle Intense EDP W 200 ml;200 ml;214.83;314.95;100.12;31.8%;132;DST847021;3145891166705;;
