No.;Category;Brand;Product Name;Size;Wholesale Price (€);Suggested Selling Price (€);Profit per Unit (€);Margin %;Stock Available;Source ID;EAN;Variant Group;Your Decision (KEEP/REMOVE);Your Custom Price (€)

--- PERFUMES ---

1;Perfumes;Acqua di Parma;Acqua di Parma Signature Sakura Eau de Parfum;20 ml;46.55;89.95;43.40;48.2%;3;DST221212;8028713810305;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
2;Perfumes;Acqua di Parma;Acqua di Parma Signature Osmanthus Eau de Parfum;20 ml;53.34;104.95;51.61;49.2%;3;DST221215;8028713810008;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
3;Perfumes;Acqua di Parma;Geurkaars Cube 11 Amber Black Acqua Di Parma;1 pcs;74.25;144.95;70.70;48.8%;4;DST164479;8028713004216;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
4;Perfumes;Acqua di Parma;Acqua di Parma Signature Lily of the Valley Eau de Parfum;180 ml;96.95;159.95;63.00;39.4%;9;DST256806;8028713811227;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
5;Perfumes;Acqua di Parma;Acqua di Parma Signature Sakura Eau de Parfum;100 ml;115.86;189.95;74.09;39.0%;4;DST257371;8028713810312;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
6;Perfumes;Acqua di Parma;Acqua di Parma Signature Osmanthus Eau de Parfum;180 ml;146.05;234.95;88.90;37.8%;3;DST121041;8028713810022;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
7;Perfumes;Acqua di Parma;"Acqua di Parma Signature Oud &amp; Spice Eau de Parfum";180 ml;163.31;239.95;76.64;31.9%;12;DST241295;8028713813221;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
8;Perfumes;Acqua di Parma;Acqua Di Parma Blu Mediterraneo Mirto di Panarea Eau De Toilette Roll-On 10 ml (unisex);10 ml;14.95;34.95;20.00;57.2%;35;DST935315;8028713572821;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
9;Perfumes;Acqua di Parma;Herenparfum Acqua Di Parma EDC (20 ml) (20 ml);20 ml;38.31;74.95;36.64;48.9%;35;DST354591;8028713250361;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
10;Perfumes;Acqua di Parma;Uniseks Parfum Acqua Di Parma EDP Ambra (20 ml);20 ml;39.16;74.95;35.79;47.8%;8;DST313231;8028713810701;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
11;Perfumes;Acqua di Parma;Damesparfum Peonia Nobile Acqua Di Parma 8028713400070 EDP (20 ml) Peonia Nobile 20 ml;20 ml;42.07;79.95;37.88;47.4%;4;DST224633;8028713400070;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
